Family,Genus,C3,CAM,C3-CAM,C4-CAM,C4,C3-C4,Sources,Order,Subfamily,Tribe,Subtribe
Lecythidaceae,Lecythis,,,,,,,,,,,
Acanthaceae,Leda,,,,,,,,,,,
Asparagaceae,Ledebouria,,,,,,,,,,,
Phytolaccaceae,Ledenbergia,,,,,,,,,,,
Podostemaceae,Ledermanniella,,,,,,,,,,,
Vivianiaceae,Ledocarpon,,,,,,,,,,,
Ericaceae,Ledodendron,,,,,,,,,,,
Cistaceae,Ledonia,,,,,,,,,,,
Ericaceae,Ledothamnus,,,,,,,,,,,
Ericaceae,Ledum,,,,,,,,,,,
Vitaceae,Leea,,,,,,,,,,,
Poaceae,Leersia,1.0,0.0,0.0,0.0,0.0,0.0,Metcalfe (1960); Watson and Dallwitz (1992),,,,
Euphorbiaceae,Leeuwenbergia,,,,,,,,,,,
Apiaceae,Lefebvrea,,,,,,,,,,,
Linderniaceae,Legazpia,,,,,,,,,,,
Campanulaceae,Legenere,,,,,,,,,,,
Menispermaceae,Legnephora,,,,,,,,,,,
Rhizophoraceae,Legnotis,,,,,,,,,,,
Campanulaceae,Legousia,,,,,,,,,,,
Myrtaceae,Legrandia,,,,,,,,,,,
Solanaceae,Lehmannia,,,,,,,,,,,
Gentianaceae,Lehmanniella,,,,,,,,,,,
Asteraceae,Leiachenis,,,,,,,,,,,
Asteraceae,Leibnitzia,,,,,,,,,,,
Asteraceae,Leiboldia,,,,,,,,,,,
Apocynaceae,Leichardtia,,,,,,,,,,,
Phyllanthaceae,Leichhardtia,,,,,,,,,,,
Euphorbiaceae,Leidesia,,,,,,,,,,,
Asteraceae,Leighia,,,,,,,,,,,
Asteraceae,Leiocarpa,,,,,,,,,,,
Podostemaceae,Leiocarpodicraea,,,,,,,,,,,
Asteraceae,Leiodon,,,,,,,,,,,
Asteraceae,Leioligo,,,,,,,,,,,
Rutaceae,Leionema,,,,,,,,,,,
Acanthaceae,Leiophaca,,,,,,,,,,,
Ericaceae,Leiophyllum,,,,,,,,,,,
Cunoniaceae,Leiospermum,,,,,,,,,,,
Brassicaceae,Leiospora,,,,,,,,,,,
Plantaginaceae,Leiostemon,,,,,,,,,,,
Eriocaulaceae,Leiothrix,,,,,,,,,,,
Podostemaceae,Leiothylax,,,,,,,,,,,
Apiaceae,Leiotulus,,,,,,,,,,,
Gentianaceae,Leiphaimos,,,,,,,,,,,
Aizoaceae,Leipoldtia,0.0,1.0,0.0,0.0,0.0,,,Caryophyllales,,,
Simaroubaceae,Leitneria,,,,,,,,,,,
Rubiaceae,Lelya,,,,,,,,,,,
Cactaceae,Lemaireocereus,0.0,1.0,0.0,0.0,0.0,,,Caryophyllales,,,
Gesneriaceae,Lembocarpus,,,,,,,,,,,
Fabaceae,Lembotropis,,,,,,,,,,,
Asteraceae,Lemmatium,,,,,,,,,,,
Araceae,Lemna,,,,,,,,,,,
Podostemaceae,Lemnopsis,,,,,,,,,,,
Asteraceae,Lemooria,,,,,,,,,,,
Orchidaceae,Lemurella,,,,,,,,,,,
Fabaceae,Lemurodendron,,,,,,,,,,,
Arecaceae,Lemurophoenix,,,,,,,,,,,
Fabaceae,Lemuropisum,,,,,,,,,,,
Orchidaceae,Lemurorchis,,,,,,,,,,,
Cucurbitaceae,Lemurosicyos,,,,,,,,,,,
Rubiaceae,Lemyrea,,,,,,,,,,,
Myrtaceae,Lencymmoea,,,,,,,,,,,
Plantaginaceae,Lendneria,,,,,,,,,,,
Fabaceae,Lennea,,,,,,,,,,,
Boraginaceae,Lennoa,,,,,,,,,,,
Crassulaceae,Lenophyllum,0.0,1.0,0.0,0.0,0.0,,,Saxifragales,,,
Fabaceae,Lens,,,,,,,,,,,
Fabaceae,Lentilla,,,,,,,,,,,
Anacardiaceae,Lentiscus,,,,,,,,,,,
Myrtaceae,Lenwebbia,,,,,,,,,,,
Portulacaceae,Lenzia,,,,,,,,,,,
Fabaceae,Leobordea,,,,,,,,,,,
Cactaceae,Leocereus,,,,,,,,,,,
Orchidaceae,Leochilus,0.0,1.0,0.0,0.0,0.0,,,Asparagales,,,
Fabaceae,Leonardendron,,,,,,,,,,,
Euphorbiaceae,Leonardia,,,,,,,,,,,
Fabaceae,Leonardoxa,,,,,,,,,,,
Violaceae,Leonia,,,,,,,,,,,
Asteraceae,Leonis,,,,,,,,,,,
Plantaginaceae,Leonohebe,,,,,,,,,,,
Lamiaceae,Leonotis,,,,,,,,,,,
Berberidaceae,Leontice,,,,,,,,,,,
Asteraceae,Leontodon,,,,,,,,,,,
Dilleniaceae,Leontoglossum,,,,,,,,,,,
Asteraceae,Leontonyx,,,,,,,,,,,
Asteraceae,Leontopodium,,,,,,,,,,,
Lamiaceae,Leonurus,,,,,,,,,,,
Asparagaceae,Leopoldia,,,,,,,,,,,
Arecaceae,Leopoldinia,,,,,,,,,,,
Asteraceae,Lepachis,,,,,,,,,,,
Asteraceae,Lepachys,,,,,,,,,,,
Gesneriaceae,Lepadanthus,,,,,,,,,,,
Orchidaceae,Lepanthes,,,,,,,,,,,
Orchidaceae,Lepanthopsis,,,,,,,,,,,
Elaeagnaceae,Lepargyrea,,,,,,,,,,,
Lamiaceae,Lepechinia,,,,,,,,,,,
Boraginaceae,Lepechiniella,,,,,,,,,,,
Loranthaceae,Lepeostegeres,,,,,,,,,,,
Brassicaceae,Lepia,,,,,,,,,,,
Lentibulariaceae,Lepiactis,,,,,,,,,,,
Asteraceae,Lepicaune,,,,,,,,,,,
Caprifoliaceae,Lepicephalus,,,,,,,,,,,
Brassicaceae,Lepicochlea,,,,,,,,,,,
Acanthaceae,Lepidacanthus,,,,,,,,,,,
Lauraceae,Lepidadenia,,,,,,,,,,,
Acanthaceae,Lepidagathis,,,,,,,,,,,
Meliaceae,Lepidaglaia,,,,,,,,,,,
Asteraceae,Lepidaploa,,,,,,,,,,,
Loranthaceae,Lepidaria,,,,,,,,,,,
Loranthaceae,Lepidella,,,,,,,,,,,
Sapindaceae,Lepiderema,,,,,,,,,,,
Asteraceae,Lepidesmia,,,,,,,,,,,
Brassicaceae,Lepidium,,,,,,,,,,,
Restionaceae,Lepidobolus,,,,,,,,,,,
Lepidobotryaceae,Lepidobotrys,,,,,,,,,,,
Arecaceae,Lepidocaryum,,,,,,,,,,,
Santalaceae,Lepidoceras,,,,,,,,,,,
Fabaceae,Lepidocoma,,,,,,,,,,,
Boraginaceae,Lepidocordia,,,,,,,,,,,
Orchidaceae,Lepidogyne,,,,,,,,,,,
Asteraceae,Lepidolopha,,,,,,,,,,,
Asteraceae,Lepidolopsis,,,,,,,,,,,
Asteraceae,Lepidonia,,,,,,,,,,,
Asteraceae,Lepidopappus,,,,,,,,,,,
Sapindaceae,Lepidopetalum,,,,,,,,,,,
Asteraceae,Lepidophorum,,,,,,,,,,,
Asteraceae,Lepidophyllum,,,,,,,,,,,
Asteraceae,Lepidopogon,,,,,,,,,,,
Arecaceae,Lepidorrhachis,,,,,,,,,,,
Asteraceae,Lepidoseris,,,,,,,,,,,
Asteraceae,Lepidospartum,,,,,,,,,,,
Cyperaceae,Lepidosperma,1.0,0.0,0.0,0.0,0.0,0.0,Bruhl and Wilson (2007),,,,
Phyllanthaceae,Lepidostachys,,,,,,,,,,,
Asteraceae,Lepidostephanus,,,,,,,,,,,
Asteraceae,Lepidostephium,,,,,,,,,,,
Rubiaceae,Lepidostoma,,,,,,,,,,,
Asteraceae,Lepidotheca,,,,,,,,,,,
Meliaceae,Lepidotrichilia,,,,,,,,,,,
Euphorbiaceae,Lepidoturus,,,,,,,,,,,
Caryophyllaceae,Lepigonum,,,,,,,,,,,
Potamogetonaceae,Lepilaena,,,,,,,,,,,
Convolvulaceae,Lepimenes,,,,,,,,,,,
Apocynaceae,Lepinia,,,,,,,,,,,
Apocynaceae,Lepiniopsis,,,,,,,,,,,
Opiliaceae,Lepionurus,,,,,,,,,,,
Cyperaceae,Lepironia,1.0,0.0,0.0,0.0,0.0,0.0,Bruhl and Wilson (2007),,,,
Sapindaceae,Lepisanthes,,,,,,,,,,,
Asteraceae,Lepiscline,,,,,,,,,,,
Apiaceae,Lepisma,,,,,,,,,,,
Cactaceae,Lepismium,0.0,1.0,0.0,0.0,0.0,,,Caryophyllales,,,
Convolvulaceae,Lepistemon,,,,,,,,,,,
Convolvulaceae,Lepistemonopsis,,,,,,,,,,,
Meliaceae,Leplaea,,,,,,,,,,,
Orchidaceae,Leporella,,,,,,,,,,,
Acanthaceae,Leptacanthus,,,,,,,,,,,
Rubiaceae,Leptactina,,,,,,,,,,,
Rubiaceae,Leptactinia,,,,,,,,,,,
Apocynaceae,Leptadenia,,,,,,,,,,,
Poaceae,Leptagrostis,1.0,0.0,0.0,0.0,0.0,0.0,Renvoize (1986),,,,
Asteraceae,Leptalea,,,,,,,,,,,
Brassicaceae,Leptaleum,,,,,,,,,,,
Xanthorrhoeaceae,Leptaloe,,,,,,,,,,,
Orobanchaceae,Leptamnium,,,,,,,,,,,
Plantaginaceae,Leptandra,,,,,,,,,,,
Boraginaceae,Leptanthe,,,,,,,,,,,
Saxifragaceae,Leptarrhena,,,,,,,,,,,
Saxifragaceae,Leptasea,,,,,,,,,,,
Poaceae,Leptaspis,1.0,0.0,0.0,0.0,0.0,0.0,Metcalfe (1960); Watson and Dallwitz (1992),,,,
Cardiopteridaceae,Leptaulus,,,,,,,,,,,
Plantaginaceae,Lepteiris,,,,,,,,,,,
Asteraceae,Lepteranthus,,,,,,,,,,,
Asteraceae,Leptica,,,,,,,,,,,
Fabaceae,Leptidium,,,,,,,,,,,
Asteraceae,Leptilon,,,,,,,,,,,
Asteraceae,Leptinella,,,,,,,,,,,
Fabaceae,Leptis,,,,,,,,,,,
Brassicaceae,Leptobasis,,,,,,,,,,,
Gesneriaceae,Leptoboea,,,,,,,,,,,
Convolvulaceae,Leptocallis,,,,,,,,,,,
Asteraceae,Leptocarpha,,,,,,,,,,,
Restionaceae,Leptocarpus,,,,,,,,,,,
Poaceae,Leptocarydion,0.0,0.0,0.0,0.0,1.0,0.0,Metcalfe (1960); Watson and Dallwitz (1992); Photos provided by R.P. Ellis,,,,
Apiaceae,Leptocaulis,,,,,,,,,,,
Orchidaceae,Leptoceras,,,,,,,,,,,
Cactaceae,Leptocereus,0.0,1.0,0.0,0.0,0.0,,,Caryophyllales,,,
Amaryllidaceae,Leptochiton,,,,,,,,,,,
Poaceae,Leptochloa,0.0,0.0,0.0,0.0,1.0,0.0,Metcalfe (1960); Watson and Dallwitz (1992),,,,
Cactaceae,Leptocladia,0.0,1.0,0.0,0.0,0.0,,,Caryophyllales,,,
Cactaceae,Leptocladodia,,,,,,,,,,,
Asteraceae,Leptoclinium,,,,,,,,,,,
Poaceae,Leptocoryphium,0.0,0.0,0.0,0.0,1.0,0.0,Watson and Dallwitz (1992),,,,
Fabaceae,Leptocyamus,,,,,,,,,,,
Fabaceae,Leptocytisus,,,,,,,,,,,
Polemoniaceae,Leptodactylon,,,,,,,,,,,
Lauraceae,Leptodaphne,,,,,,,,,,,
Rubiaceae,Leptodermis,,,,,,,,,,,
Fabaceae,Leptoderris,,,,,,,,,,,
Fabaceae,Leptodesmia,,,,,,,,,,,
Solanaceae,Leptoglossis,,,,,,,,,,,
Fabaceae,Leptoglottis,,,,,,,,,,,
Polygonaceae,Leptogonum,,,,,,,,,,,
Asteraceae,Leptogyne,,,,,,,,,,,
Sarcolaenaceae,Leptolaena,,,,,,,,,,,
Fabaceae,Leptolobium,,,,,,,,,,,
Santalaceae,Leptomeria,,,,,,,,,,,
Rubiaceae,Leptomischus,,,,,,,,,,,
Phyllanthaceae,Leptonema,,,,,,,,,,,
Malvaceae,Leptonychia,,,,,,,,,,,
Rubiaceae,Leptopetalum,,,,,,,,,,,
Asteraceae,Leptopoda,,,,,,,,,,,
Poaceae,Leptopogon,,,,,,,,,,,
Phyllanthaceae,Leptopus,,,,,,,,,,,
Orchidaceae,Leptorchis,,,,,,,,,,,
Orobanchaceae,Leptorhabdos,,,,,,,,,,,
Asteraceae,Leptorhynchos,,,,,,,,,,,
Orchidaceae,Leptorkis,,,,,,,,,,,
Brassicaceae,Leptormus,,,,,,,,,,,
Rubiaceae,Leptoscela,,,,,,,,,,,
Fabaceae,Leptosema,,,,,,,,,,,
Asteraceae,Leptoseris,,,,,,,,,,,
Polemoniaceae,Leptosiphon,,,,,,,,,,,
Acanthaceae,Leptosiphonium,,,,,,,,,,,
Zingiberaceae,Leptosolena,,,,,,,,,,,
Myrtaceae,Leptospermum,,,,,,,,,,,
Fabaceae,Leptospron,,,,,,,,,,,
Acanthaceae,Leptostachya,,,,,,,,,,,
Asteraceae,Leptostelma,,,,,,,,,,,
Rubiaceae,Leptostigma,,,,,,,,,,,
Sapotaceae,Leptostylis,,,,,,,,,,,
Asteraceae,Leptosyne,,,,,,,,,,,
Apiaceae,Leptotaenia,,,,,,,,,,,
Menispermaceae,Leptoterantha,,,,,,,,,,,
Orchidaceae,Leptotes,,,,,,,,,,,
Poaceae,Leptothrium,0.0,0.0,0.0,0.0,1.0,0.0,Watson and Dallwitz (1992),,,,
Rutaceae,Leptothyrsa,,,,,,,,,,,
Asteraceae,Leptotis,,,,,,,,,,,
Asteraceae,Leptotriche,,,,,,,,,,,
Poaceae,Lepturidium,0.0,0.0,0.0,0.0,1.0,0.0,Watson and Dallwitz (1992),,,,
Poaceae,Lepturopetium,0.0,0.0,0.0,0.0,1.0,0.0,Watson and Dallwitz (1992),,,,
Poaceae,Lepturus,0.0,0.0,0.0,0.0,1.0,0.0,Metcalfe (1960); Watson and Dallwitz (1992),,,,
Celastraceae,Lepuropetalon,,,,,,,,,,,
Restionaceae,Lepyrodia,,,,,,,,,,,
Caryophyllaceae,Lepyrodiclis,,,,,,,,,,,
Rubiaceae,Lerchea,,,,,,,,,,,
Apiaceae,Lereschia,,,,,,,,,,,
Icacinaceae,Leretia,,,,,,,,,,,
Asteraceae,Leria,,,,,,,,,,,
Asteraceae,Lescaillea,,,,,,,,,,,
Goodeniaceae,Leschenaultia,,,,,,,,,,,
Fabaceae,Lespedeza,,,,,,,,,,,
Brassicaceae,Lesquerella,,,,,,,,,,,
Fabaceae,Lessertia,,,,,,,,,,,
Asteraceae,Lessingia,,,,,,,,,,,
Asteraceae,Lessingianthus,,,,,,,,,,,
Apiaceae,Lessonia,,,,,,,,,,,
Amaranthaceae,Lestibudesia,,,,,,,,,,,
Sapotaceae,Letestua,,,,,,,,,,,
Annonaceae,Letestudoxa,,,,,,,,,,,
Podostemaceae,Letestuella,,,,,,,,,,,
Thymelaeaceae,Lethedon,,,,,,,,,,,
Iridaceae,Lethia,,,,,,,,,,,
Asteraceae,Leto,,,,,,,,,,,
Annonaceae,Lettowianthus,,,,,,,,,,,
Convolvulaceae,Lettsomia,,,,,,,,,,,
Asteraceae,Leucacantha,,,,,,,,,,,
Asteraceae,Leucactinia,,,,,,,,,,,
Proteaceae,Leucadendron,,,,,,,,,,,
Euphorbiaceae,Leucadenia,,,,,,,,,,,
Fabaceae,Leucaena,,,,,,,,,,,
Melastomataceae,Leucalepis,,,,,,,,,,,
Asteraceae,Leucantha,,,,,,,,,,,
Asteraceae,Leucanthemella,,,,,,,,,,,
Asteraceae,Leucanthemopsis,,,,,,,,,,,
Asteraceae,Leucanthemum,,,,,,,,,,,
Lamiaceae,Leucas,,,,,,,,,,,
Nyctaginaceae,Leucaster,,,,,,,,,,,
Asteraceae,Leucelene,,,,,,,,,,,
Orchidaceae,Leucerminium,,,,,,,,,,,
Asteraceae,Leuchaeria,,,,,,,,,,,
Asteraceae,Leucheria,,,,,,,,,,,
Cactaceae,Leuchtenbergia,0.0,1.0,0.0,0.0,0.0,,,Caryophyllales,,,
Asteraceae,Leuciva,,,,,,,,,,,
Acanthaceae,Leucobarleria,,,,,,,,,,,
Asteraceae,Leucoblepharis,,,,,,,,,,,
Loranthaceae,Leucobotrys,,,,,,,,,,,
Bignoniaceae,Leucocalanthe,,,,,,,,,,,
Celastraceae,Leucocarpum,,,,,,,,,,,
Phrymaceae,Leucocarpus,,,,,,,,,,,
Fabaceae,Leucochloron,,,,,,,,,,,
Asteraceae,Leucochrysum,,,,,,,,,,,
Urticaceae,Leucococcus,,,,,,,,,,,
Rubiaceae,Leucocodon,,,,,,,,,,,
Ranunculaceae,Leucocoma,,,,,,,,,,,
Icacinaceae,Leucocorema,,,,,,,,,,,
Amaryllidaceae,Leucocoryne,,,,,,,,,,,
Asparagaceae,Leucocrinum,,,,,,,,,,,
Euphorbiaceae,Leucocroton,,,,,,,,,,,
Asteraceae,Leucogenes,,,,,,,,,,,
Orchidaceae,Leucohyle,,,,,,,,,,,
Amaryllidaceae,Leucojum,,,,,,,,,,,
Orchidaceae,Leucolaena,,,,,,,,,,,
Rubiaceae,Leucolophus,,,,,,,,,,,
Asteraceae,Leucomeris,,,,,,,,,,,
Fabaceae,Leucomphalos,,,,,,,,,,,
Clusiaceae,Leuconocarpus,,,,,,,,,,,
Apocynaceae,Leuconotis,,,,,,,,,,,
Nymphaeaceae,Leuconymphaea,,,,,,,,,,,
Asteraceae,Leucopholis,,,,,,,,,,,
Scrophulariaceae,Leucophyllum,,,,,,,,,,,
Solanaceae,Leucophysalis,,,,,,,,,,,
Asteraceae,Leucophyta,,,,,,,,,,,
Poaceae,Leucopoa,,,,,,,,,,,
Ericaceae,Leucopogon,,,,,,,,,,,
Asteraceae,Leucopsidium,,,,,,,,,,,
Asteraceae,Leucopsis,,,,,,,,,,,
Asteraceae,Leucoptera,,,,,,,,,,,
Orchidaceae,Leucorchis,,,,,,,,,,,
Orobanchaceae,Leucosalpa,,,,,,,,,,,
Lamiaceae,Leucosceptrum,,,,,,,,,,,
Asteraceae,Leucoseris,,,,,,,,,,,
Rosaceae,Leucosidea,,,,,,,,,,,
Proteaceae,Leucospermum,,,,,,,,,,,
Amaranthaceae,Leucosphaera,1.0,0.0,0.0,0.0,0.0,,Sage et al (2007),Caryophyllales,,,
Plantaginaceae,Leucospora,,,,,,,,,,,
Fabaceae,Leucostegane,,,,,,,,,,,
Caryophyllaceae,Leucostemma,,,,,,,,,,,
Urticaceae,Leucosyke,,,,,,,,,,,
Amaryllidaceae,Leucothauma,,,,,,,,,,,
Ericaceae,Leucothoe,,,,,,,,,,,
Arecaceae,Leucothrinax,,,,,,,,,,,
Rosaceae,Leucoxyla,,,,,,,,,,,
Asteraceae,Leunisia,,,,,,,,,,,
Boraginaceae,Leurocline,,,,,,,,,,,
Apiaceae,Leutea,,,,,,,,,,,
Asteraceae,Leuzea,,,,,,,,,,,
Solanaceae,Levana,,,,,,,,,,,
Asteraceae,Leveillea,,,,,,,,,,,
Stylidiaceae,Levenhookia,,,,,,,,,,,
Monimiaceae,Levieria,,,,,,,,,,,
Apiaceae,Levisticum,,,,,,,,,,,
Montiaceae,Lewisia,,,,,,,,,,,
Brassicaceae,Lexarzanthe,,,,,,,,,,,
Gentianaceae,Lexipyretum,,,,,,,,,,,
Caprifoliaceae,Leycesteria,,,,,,,,,,,
Poaceae,Leymus,1.0,0.0,0.0,0.0,0.0,0.0,Metcalfe (1960); Watson and Dallwitz (1992),,,,
Asteraceae,Leysera,,,,,,,,,,,
Apocynaceae,Lhotzkyella,,,,,,,,,,,
Asteraceae,Liabellum,,,,,,,,,,,
Asteraceae,Liabum,,,,,,,,,,,
Hypericaceae,Lianthus,,,,,,,,,,,
Asteraceae,Liatris,,,,,,,,,,,
Asteraceae,Libanothamnus,,,,,,,,,,,
Apiaceae,Libanotis,,,,,,,,,,,
Acanthaceae,Liberatia,,,,,,,,,,,
Iridaceae,Libertia,,,,,,,,,,,
Fabaceae,Libidibia,,,,,,,,,,,
Acanthaceae,Libonia,,,,,,,,,,,
Fabaceae,Librevillea,,,,,,,,,,,
Poaceae,Libyella,1.0,0.0,0.0,0.0,0.0,0.0,Watson and Dallwitz (1992),,,,
Chrysobalanaceae,Licania,,,,,,,,,,,
Lauraceae,Licaria,,,,,,,,,,,
Caryophyllaceae,Lichnis,,,,,,,,,,,
Arecaceae,Licuala,,,,,,,,,,,
Asteraceae,Lidbeckia,,,,,,,,,,,
Asteraceae,Lieberkuhna,,,,,,,,,,,
Gesneriaceae,Liebigia,,,,,,,,,,,
Loganiaceae,Liesneria,,,,,,,,,,,
Asteraceae,Lifago,,,,,,,,,,,
Loranthaceae,Ligaria,,,,,,,,,,,
Podostemaceae,Ligea,,,,,,,,,,,
Orchidaceae,Ligeophila,,,,,,,,,,,
Gesneriaceae,Ligeria,,,,,,,,,,,
Euphroniaceae,Lightiodendron,,,,,,,,,,,
Thymelaeaceae,Ligia,,,,,,,,,,,
Melastomataceae,Lignieria,,,,,,,,,,,
Apiaceae,Lignocarpa,,,,,,,,,,,
Asteraceae,Ligularia,,,,,,,,,,,
Asteraceae,Ligulariopsis,,,,,,,,,,,
Apiaceae,Ligusticella,,,,,,,,,,,
Apiaceae,Ligusticopsis,,,,,,,,,,,
Apiaceae,Ligusticum,,,,,,,,,,,
Oleaceae,Ligustrina,,,,,,,,,,,
Oleaceae,Ligustrum,,,,,,,,,,,
Melastomataceae,Lijndenia,,,,,,,,,,,
Apiaceae,Lilaeopsis,0.0,1.0,0.0,0.0,0.0,,,Apiales,,,
Liliaceae,Lilium,,,,,,,,,,,
Menispermaceae,Limacia,,,,,,,,,,,
Menispermaceae,Limaciopsis,,,,,,,,,,,
Orchidaceae,Limatodes,,,,,,,,,,,
Asteraceae,Limbarda,,,,,,,,,,,
Limeaceae,Limeum,,,,,,,,,,,
Menyanthaceae,Limnanthemum,,,,,,,,,,,
Limnanthaceae,Limnanthes,,,,,,,,,,,
Poaceae,Limnas,1.0,0.0,0.0,0.0,0.0,0.0,Watson and Dallwitz (1992),,,,
Scrophulariaceae,Limnaspidium,,,,,,,,,,,
Montiaceae,Limnia,,,,,,,,,,,
Hydrocharitaceae,Limnobium,,,,,,,,,,,
Saxifragaceae,Limnobotrya,,,,,,,,,,,
Alismataceae,Limnocharis,,,,,,,,,,,
Cyperaceae,Limnochloa,,,,,,,,,,,
Rutaceae,Limnocitrus,,,,,,,,,,,
Poaceae,Limnodea,1.0,0.0,0.0,0.0,0.0,0.0,Watson and Dallwitz (1992),,,,
Plantaginaceae,Limnophila,,,,,,,,,,,
Alismataceae,Limnophyton,,,,,,,,,,,
Poaceae,Limnopoa,1.0,0.0,0.0,0.0,0.0,0.0,Watson and Dallwitz (1992),,,,
Orchidaceae,Limnorchis,,,,,,,,,,,
Apiaceae,Limnosciadium,,,,,,,,,,,
Rubiaceae,Limnosipanea,,,,,,,,,,,
Orchidaceae,Limodorum,,,,,,,,,,,
Rutaceae,Limonia,,,,,,,,,,,
Plumbaginaceae,Limoniastrum,,,,,,,,,,,
Plumbaginaceae,Limoniodes,,,,,,,,,,,
Plumbaginaceae,Limoniopsis,,,,,,,,,,,
Plumbaginaceae,Limonium,,,,,,,,,,,
Scrophulariaceae,Limosella,,,,,,,,,,,
Polemoniaceae,Linanthastrum,,,,,,,,,,,
Polemoniaceae,Linanthus,,,,,,,,,,,
Plantaginaceae,Linaria,,,,,,,,,,,
Acanthaceae,Linariantha,,,,,,,,,,,
Pedaliaceae,Linariopsis,,,,,,,,,,,
Bruniaceae,Linconia,,,,,,,,,,,
Achariaceae,Lindackeria,,,,,,,,,,,
Poaceae,Lindbergella,1.0,0.0,0.0,0.0,0.0,0.0,Watson and Dallwitz (1992),,,,
Boraginaceae,Lindelofia,,,,,,,,,,,
Plantaginaceae,Lindenbergia,,,,,,,,,,,
Rubiaceae,Lindenia,,,,,,,,,,,
Piperaceae,Lindeniopiper,,,,,,,,,,,
Lauraceae,Lindera,,,,,,,,,,,
Linderniaceae,Lindernia,,,,,,,,,,,
Asteraceae,Lindheimera,,,,,,,,,,,
Rosaceae,Lindleya,,,,,,,,,,,
Rosaceae,Lindleyella,,,,,,,,,,,
Bromeliaceae,Lindmania,,,,,,,,,,,
Myrtaceae,Lindsayomyrtus,,,,,,,,,,,
Phyllanthaceae,Lingelsheimia,,,,,,,,,,,
Poaceae,Lingnania,,,,,,,,,,,
Fabaceae,Lingoum,,,,,,,,,,,
Lauraceae,Linharea,,,,,,,,,,,
Caprifoliaceae,Linnaea,,,,,,,,,,,
Cucurbitaceae,Linnaeosicyos,,,,,,,,,,,
Acanthaceae,Linocalix,,,,,,,,,,,
Acanthaceae,Linocalyx,,,,,,,,,,,
Asteraceae,Linochilus,,,,,,,,,,,
Oleaceae,Linociera,,,,,,,,,,,
Thymelaeaceae,Linodendron,,,,,,,,,,,
Linaceae,Linodes,,,,,,,,,,,
Linaceae,Linopsis,,,,,,,,,,,
Arecaceae,Linospadix,,,,,,,,,,,
Geraniaceae,Linostigma,,,,,,,,,,,
Thymelaeaceae,Linostoma,,,,,,,,,,,
Acanthaceae,Linostylis,,,,,,,,,,,
Asteraceae,Linosyris,,,,,,,,,,,
Asteraceae,Linsecomia,,,,,,,,,,,
Poaceae,Lintonia,0.0,0.0,0.0,0.0,1.0,0.0,Watson and Dallwitz (1992); Photos provided by R.P. Ellis,,,,
Linaceae,Linum,,,,,,,,,,,
Asteraceae,Linzia,,,,,,,,,,,
Fabaceae,Liparia,,,,,,,,,,,
Orchidaceae,Liparis,,,,,,,,,,,
Menyanthaceae,Liparophyllum,,,,,,,,,,,
Cyperaceae,Lipocarpha,0.0,0.0,0.0,0.0,1.0,0.0,Sage (2016); Bruhl and Wilson (2007); Larridon et al (2013),,,,
Asteraceae,Lipochaeta,,,,,,,,,,,
Brassicaceae,Lipophragma,,,,,,,,,,,
Clusiaceae,Lipophyllum,,,,,,,,,,,
Rubiaceae,Lipostoma,,,,,,,,,,,
Asteraceae,Lipotriche,,,,,,,,,,,
Fabaceae,Lipozygis,,,,,,,,,,,
Verbenaceae,Lippia,1.0,0.0,0.0,0.0,0.0,,,Lamiales,,,
Proteaceae,Lippomuellera,,,,,,,,,,,
Asteraceae,Lipschitziella,,,,,,,,,,,
Apiaceae,Lipskya,,,,,,,,,,,
Asteraceae,Lipskyella,,,,,,,,,,,
Altingiaceae,Liquidambar,,,,,,,,,,,
Fabaceae,Liquiritia,,,,,,,,,,,
Magnoliaceae,Liriodendron,,,,,,,,,,,
Asparagaceae,Liriope,,,,,,,,,,,
Olacaceae,Liriosma,,,,,,,,,,,
Apiaceae,Lisaea,,,,,,,,,,,
Gentianaceae,Lisianthius,,,,,,,,,,,
Orchidaceae,Lisowskia,,,,,,,,,,,
Ericaceae,Lissanthe,,,,,,,,,,,
Fabaceae,Lissera,,,,,,,,,,,
Ebenaceae,Lissocarpa,,,,,,,,,,,
Orchidaceae,Lissochilus,0.0,1.0,0.0,0.0,0.0,,,Asparagales,,,
Acanthaceae,Lissospermum,,,,,,,,,,,
Orchidaceae,Listera,,,,,,,,,,,
Fabaceae,Listia,,,,,,,,,,,
Acanthaceae,Listrobanthes,,,,,,,,,,,
Orchidaceae,Listrostachys,,,,,,,,,,,
Asparagaceae,Litanthus,,,,,,,,,,,
Sapindaceae,Litchi,,,,,,,,,,,
Poaceae,Lithachne,1.0,0.0,0.0,0.0,0.0,0.0,Watson and Dallwitz (1992),,,,
Melastomataceae,Lithobium,,,,,,,,,,,
Boraginaceae,Lithocardium,,,,,,,,,,,
Fagaceae,Lithocarpus,,,,,,,,,,,
Grubbiaceae,Lithodia,,,,,,,,,,,
Boraginaceae,Lithodora,,,,,,,,,,,
Brassicaceae,Lithodraba,,,,,,,,,,,
Myrtaceae,Lithomyrtus,,,,,,,,,,,
Fabaceae,Lithoon,,,,,,,,,,,
Amaranthaceae,Lithophila,0.0,0.0,0.0,0.0,1.0,,Sage et al (2007),Caryophyllales,,,
Saxifragaceae,Lithophragma,,,,,,,,,,,
